	Species	Genes	Methylobacterium durans	Methylobacterium indicum	Methylobacterium phyllosphaerae	Methylobacterium radiodurans	Methylobacterium terrae	mean ZH-Score
1727	5	5	WP_109892358.1	WP_207179521.1	WP_075379597.1	WP_109952562.1	WP_109960260.1	5164.223868421053
639	5	5	WP_109888934.1	WP_207182308.1	WP_075380182.1	WP_109950904.1	WP_109958679.1	5158.282452941177
1033	5	5	WP_109890279.1	WP_048427787.1	WP_043381219.1	WP_109949986.1	WP_109962479.1	5155.850717647059
1421	5	5	WP_109891521.1	WP_207181012.1	WP_053609194.1	WP_109950851.1	WP_109960837.1	5154.83288275862
491	5	5	WP_109888214.1	WP_048430793.1	WP_075381447.1	WP_109951176.1	WP_109962231.1	5126.44348888889
2699	5	5	WP_236960167.1	WP_207181847.1	WP_043383348.1	WP_245930668.1	WP_109960039.1	5124.2284538461545
205	5	5	WP_109887110.1	WP_207178212.1	WP_043383498.1	WP_109951511.1	WP_099899369.1	5122.460857142856
2028	5	5	WP_109894457.1	WP_207183574.1	WP_236952993.1	WP_245931044.1	WP_245443055.1	5114.104933333333
1170	5	5	WP_109890761.1	WP_048426830.1	WP_043351851.1	WP_109952085.1	WP_109961877.1	5113.579647619049
989	5	5	WP_109890117.1	WP_207181699.1	WP_075380297.1	WP_109950508.1	WP_109958401.1	5110.81186875
1407	5	5	WP_109891488.1	WP_207180586.1	WP_043356055.1	WP_109951186.1	WP_109961183.1	5108.984385714286
3339	5	5	WP_236960618.1	WP_048430299.1	WP_075379911.1	WP_245930768.1	WP_109958288.1	5107.90786875
608	5	5	WP_109888763.1	WP_244748623.1	WP_075379694.1	WP_109949780.1	WP_109960523.1	5097.821999999999
791	5	5	WP_109889525.1	WP_207182470.1	WP_043355923.1	WP_109950467.1	WP_109957674.1	5071.359122222223
2280	5	5	WP_109895615.1	WP_048429515.1	WP_043351243.1	WP_109953296.1	WP_109957562.1	5069.7071375000005
1218	5	5	WP_109890881.1	WP_048430874.1	WP_010685409.1	WP_066926230.1	WP_048436834.1	5066.966971428572
1674	5	5	WP_109892214.1	WP_207178936.1	WP_075380893.1	WP_109953758.1	WP_245442859.1	5064.243442857141
1538	5	5	WP_109891759.1	WP_207183258.1	WP_075379626.1	WP_109953186.1	WP_109959770.1	5056.965854166667
1085	5	5	WP_109890495.1	WP_207179597.1	WP_075380390.1	WP_109954209.1	WP_109959544.1	5044.656404545455
865	5	5	WP_109889717.1	WP_207178392.1	WP_075379748.1	WP_109949938.1	WP_109961093.1	5035.5234666666665
1692	5	5	WP_109892262.1	WP_048429138.1	WP_043356236.1	WP_109953742.1	WP_109957379.1	5016.377016666666
1182	5	5	WP_109890799.1	WP_207180477.1	WP_083683565.1	WP_109952049.1	WP_109960353.1	5009.3785789473695
428	5	5	WP_109887802.1	WP_207178809.1	WP_075380404.1	WP_109949709.1	WP_109960011.1	5000.683372413791
2638	5	5	WP_194075190.1	WP_207182125.1	WP_075380959.1	WP_109950077.1	WP_109960686.1	4999.382355555556
1350	5	5	WP_109891362.1	WP_207178786.1	WP_075380350.1	WP_109951245.1	WP_245442959.1	4998.7393807692315
2453	5	5	WP_109896424.1	WP_048428373.1	WP_043353112.1	WP_109950668.1	WP_109958796.1	4997.980466666667
35	5	5	WP_109886701.1	WP_207177901.1	WP_043380425.1	WP_204165237.1	WP_109958168.1	4996.483981818183
2258	5	5	WP_109895564.1	WP_048425820.1	WP_043384884.1	WP_109952592.1	WP_109960472.1	4988.101441666667
2060	5	5	WP_109894766.1	WP_207178444.1	WP_075381814.1	WP_109952349.1	WP_109958887.1	4981.591776470588
2965	5	6	WP_109891561.1	WP_207182651.1,WP_207183211.1	WP_043351052.1	WP_109953574.1	WP_109961489.1	4981.0887062500005
261	5	5	WP_109887318.1	WP_048430368.1	WP_075381946.1	WP_109950769.1	WP_109962016.1	4978.2215117647065
369	5	5	WP_109887563.1	WP_048426150.1	WP_043348434.1	WP_109953578.1	WP_109960121.1	4975.66900625
1368	5	5	WP_109891400.1	WP_048428326.1	WP_043380280.1	WP_109950495.1	WP_109958582.1	4965.21130909091
1335	5	5	WP_109891324.1	WP_207181727.1	WP_043379110.1	WP_109950587.1	WP_109960085.1	4962.408473076924
374	5	5	WP_109887571.1	WP_207180567.1	WP_051976213.1	WP_245931105.1	WP_109959200.1	4955.662869565218
840	5	5	WP_109889649.1	WP_058617544.1	WP_043346856.1	WP_109950067.1	WP_109960676.1	4953.643188888889
847	5	5	WP_109889672.1	WP_048430941.1	WP_078947133.1	WP_109950415.1	WP_109961103.1	4947.860675
955	5	5	WP_109890019.1	WP_244749019.1	WP_075381246.1	WP_109950346.1	WP_109958844.1	4945.784476923078
1030	5	5	WP_109890273.1	WP_048428340.1	WP_043349274.1	WP_109950038.1	WP_109957359.1	4930.4019499999995
1852	5	5	WP_109893396.1	WP_048431006.1	WP_075380832.1	WP_245930664.1	WP_109961692.1	4912.341138888889
400	5	5	WP_109887659.1	WP_244748936.1	WP_043760194.1	WP_109949848.1	WP_245442870.1	4908.554123529412
1450	5	5	WP_109891568.1	WP_048426685.1	WP_043355558.1	WP_109951753.1	WP_109960303.1	4908.41020625
1304	5	5	WP_109891252.1	WP_048429121.1	WP_043761266.1	WP_109950406.1	WP_109959647.1	4907.591620833334
201	5	5	WP_109887102.1	WP_048427731.1	WP_043346359.1	WP_109953447.1	WP_109958889.1	4901.815544444445
185	5	5	WP_109887057.1	WP_058620096.1	WP_075379734.1	WP_109953167.1	WP_109959656.1	4897.961211428571
2377	5	5	WP_109895890.1	WP_207178746.1	WP_075381992.1	WP_109951236.1	WP_109960048.1	4897.363084210527
2179	5	5	WP_109895284.1	WP_048427346.1	WP_043379837.1	WP_109952076.1	WP_109960438.1	4891.709957142857
2648	5	5	WP_194075207.1	WP_207183528.1	WP_075380012.1	WP_204165207.1	WP_109957561.1	4870.979140909091
1486	5	5	WP_109891631.1	WP_207183325.1	WP_043347850.1	WP_109952095.1	WP_109960388.1	4862.589740000001
1355	5	7	WP_109891374.1	WP_207180982.1,WP_207182492.1	WP_043758580.1,WP_075382239.1	WP_109952128.1	WP_109958673.1	4856.101622580645
2499	5	5	WP_109896594.1	WP_207183661.1	WP_083683683.1	WP_109953681.1	WP_109962489.1	4846.592695238096
1842	5	5	WP_109893355.1	WP_207178701.1	WP_075381227.1	WP_109953933.1	WP_109959580.1	4842.913036363636
2126	5	5	WP_109895148.1	WP_244276367.1	WP_051976324.1	WP_245931028.1	WP_245442965.1	4835.6581869565225
1411	5	5	WP_109891498.1	WP_048461350.1	WP_043356063.1	WP_109951182.1	WP_109961179.1	4829.888513636363
2682	5	5	WP_236960130.1	WP_207180661.1	WP_075380509.1	WP_109950135.1	WP_109961125.1	4829.88033125
1002	5	5	WP_109890209.1	WP_048428292.1	WP_043350719.1	WP_109953023.1	WP_109957480.1	4816.424983333333
1216	5	5	WP_109890877.1	WP_048430871.1	WP_043383019.1	WP_109951409.1	WP_109962188.1	4815.311922222222
1351	5	5	WP_109891364.1	WP_207178784.1	WP_043345945.1	WP_109951249.1	WP_109959635.1	4810.7724
1356	5	5	WP_109891376.1	WP_207178778.1	WP_043380697.1	WP_109950835.1	WP_109959629.1	4803.871874999999
1725	5	5	WP_109892352.1	WP_207179524.1	WP_043383720.1	WP_245930628.1	WP_109960264.1	4798.9011375
640	5	5	WP_109888936.1	WP_058617050.1	WP_075380184.1	WP_109950902.1	WP_109959362.1	4795.40945
2038	5	6	WP_109894632.1	WP_058620463.1	WP_043355782.1,WP_043356961.1	WP_109952426.1	WP_109958648.1	4792.3123235294115
697	5	5	WP_109889248.1	WP_207180458.1	WP_043357881.1	WP_109953700.1	WP_109960461.1	4785.679258823529
1428	5	5	WP_109891530.1	WP_207180483.1	WP_043353371.1	WP_109953773.1	WP_109960349.1	4784.5893
2449	5	5	WP_109896412.1	WP_048429988.1	WP_075380162.1	WP_109951488.1	WP_109959223.1	4775.89175625
948	5	5	WP_109889983.1	WP_207181082.1	WP_043349505.1	WP_109950156.1	WP_245442999.1	4773.745956250001
1389	5	5	WP_109891450.1	WP_207180627.1	WP_043760753.1	WP_109951162.1	WP_109961149.1	4766.057163636365
1547	5	5	WP_109891783.1	WP_207177826.1	WP_043356545.1	WP_109953176.1	WP_109959239.1	4752.283733333334
2891	5	5	WP_236961118.1	WP_207180765.1	WP_043384785.1	WP_109949755.1	WP_109957958.1	4744.3238730769235
2400	5	5	WP_109896107.1	WP_207181729.1	WP_043349695.1	WP_109950480.1	WP_109960089.1	4729.03485909091
1512	5	5	WP_109891695.1	WP_207182430.1	WP_075381071.1	WP_245930926.1	WP_162561311.1	4723.635152941176
937	5	5	WP_109889951.1	WP_048427892.1	WP_043388850.1	WP_109949787.1	WP_109958686.1	4721.530309090908
2811	5	5	WP_236960799.1	WP_207183223.1	WP_075381030.1	WP_109949977.1	WP_109961850.1	4720.91802
1475	5	5	WP_109891602.1	WP_048461565.1	WP_043378612.1	WP_109952179.1	WP_109961989.1	4714.7721
1402	5	5	WP_109891476.1	WP_207180595.1	WP_075379620.1	WP_109951192.1	WP_109961173.1	4704.35103
92	5	5	WP_109886840.1	WP_207179713.1	WP_043381166.1	WP_204165335.1	WP_245442995.1	4700.064081818183
313	5	5	WP_109887458.1	WP_048427877.1	WP_043760477.1	WP_109949928.1	WP_109958653.1	4686.281013333334
1574	5	5	WP_109891851.1	WP_207178618.1	WP_075381272.1	WP_109952038.1	WP_109959756.1	4684.521125
1406	5	5	WP_109891486.1	WP_048431256.1	WP_075379622.1	WP_109951187.1	WP_109962463.1	4675.150433333333
2185	5	5	WP_109895312.1	WP_048427462.1	WP_012317943.1	WP_066920265.1	WP_048444669.1	4653.782114285715
2003	5	5	WP_109894391.1	WP_207182302.1	WP_075380220.1	WP_109954179.1	WP_109958698.1	4652.657047619048
2827	5	6	WP_236960879.1	WP_207178128.1	WP_075380170.1	WP_109950979.1,WP_109953476.1	WP_109957784.1	4650.240535714286
2424	5	5	WP_109896261.1	WP_207183527.1	WP_043346332.1	WP_109949975.1	WP_109962192.1	4648.960425
2307	5	5	WP_109895691.1	WP_207179288.1	WP_075381518.1	WP_109953093.1	WP_109961511.1	4647.6577800000005
14	5	5	WP_109886654.1	WP_207183351.1	WP_053609048.1	WP_109952188.1	WP_109960792.1	4638.900952941177
2260	5	5	WP_109895568.1	WP_048425818.1	WP_012319191.1	WP_109952594.1	WP_048444830.1	4635.591
1231	5	5	WP_109890923.1	WP_207179185.1	WP_075380467.1	WP_109951422.1	WP_109960225.1	4632.141826666667
1647	5	5	WP_109892134.1	WP_048427335.1	WP_043347979.1	WP_109953663.1	WP_109960426.1	4613.795615789474
2332	5	5	WP_109895752.1	WP_207177832.1	WP_075381353.1	WP_109952134.1	WP_109959232.1	4608.341322727272
2697	5	5	WP_236960164.1	WP_207180718.1	WP_236952801.1	WP_245931034.1	WP_109958534.1	4605.597694736843
309	5	5	WP_109887453.1	WP_058616870.1	WP_012318030.1	WP_109950742.1	WP_109958660.1	4603.62786
155	5	5	WP_109886984.1	WP_207181282.1	WP_075379832.1	WP_109949471.1	WP_109957939.1	4599.2342
88	5	5	WP_109886830.1	WP_048427034.1	WP_043381159.1	WP_066926959.1	WP_109961225.1	4596.073644444445
1522	5	5	WP_109891717.1	WP_058619365.1	WP_043354767.1	WP_109951843.1	WP_109961389.1	4591.814245
2855	5	5	WP_236960986.1	WP_207182487.1	WP_083683569.1	WP_109950706.1	WP_109962197.1	4586.81125
2098	5	5	WP_109895087.1	WP_207177734.1	WP_043380780.1	WP_109952331.1	WP_109960167.1	4582.6234125
1226	5	5	WP_109890913.1	WP_207183218.1	WP_075379721.1	WP_109953833.1	WP_109961845.1	4579.338471428571
549	5	5	WP_109888486.1	WP_058618724.1	WP_083683329.1	WP_109950752.1	WP_109961121.1	4577.017306666667
1590	5	5	WP_109891885.1	WP_207182405.1	WP_043380765.1	WP_109952023.1	WP_109961233.1	4570.597106666667
725	5	5	WP_109889317.1	WP_048427261.1	WP_043350594.1	WP_109953585.1	WP_048427261.1	4560.792768421053
2743	5	5	WP_236960466.1	WP_207181884.1	WP_075381902.1	WP_109952151.1	WP_109960328.1	4559.160061538461
2331	5	5	WP_109895748.1	WP_207177831.1	WP_043346904.1	WP_109952136.1	WP_109959234.1	4550.871
188	5	5	WP_109887069.1	WP_048427742.1	WP_043347519.1	WP_109953170.1	WP_109962175.1	4549.766816
1949	5	5	WP_109894091.1	WP_207183204.1	WP_043356260.1	WP_109951529.1	WP_109961545.1	4537.728
2654	5	5	WP_194075238.1	WP_060848869.1	WP_043386919.1	WP_204165310.1	WP_109960206.1	4537.253413333334
2431	5	5	WP_109896289.1	WP_048425497.1	WP_075381013.1	WP_109953981.1	WP_245442575.1	4528.825192307691
780	5	5	WP_109889507.1	WP_207180541.1	WP_075379684.1	WP_109953203.1	WP_109957354.1	4525.635338888889
1447	5	5	WP_109891557.1	WP_207178813.1	WP_075380403.1	WP_109949708.1	WP_109960009.1	4504.4747879999995
1370	5	5	WP_109891404.1	WP_207179671.1	WP_075381522.1	WP_109950497.1	WP_109958583.1	4500.44815
63	5	7	WP_109886775.1,WP_109895366.1	WP_207183226.1	WP_043756370.1	WP_109951064.1,WP_109953407.1	WP_109961853.1	4499.94309047619
2174	5	5	WP_109895270.1	WP_058616992.1	WP_043383652.1	WP_109952009.1	WP_109961422.1	4496.5875625
2397	5	5	WP_109896043.1	WP_207182383.1	WP_075380703.1	WP_109951143.1	WP_109962017.1	4496.184173333334
2423	5	5	WP_109896259.1	WP_048428397.1	WP_078947308.1	WP_109953938.1	WP_109958938.1	4491.6190727272715
784	5	5	WP_109889514.1	WP_048427432.1	WP_043350928.1	WP_245930872.1	WP_109957727.1	4484.459272222222
769	5	5	WP_109889478.1	WP_207180113.1	WP_043381244.1	WP_245930777.1	WP_109960084.1	4483.606211111112
670	5	5	WP_109889011.1	WP_122982699.1	WP_043758693.1	WP_109951324.1	WP_109959097.1	4466.656157142857
2378	5	5	WP_109895892.1	WP_244748702.1	WP_075381993.1	WP_245930884.1	WP_109959564.1	4465.422588235294
2355	5	5	WP_109895814.1	WP_048429292.1	WP_043385697.1	WP_109953551.1	WP_109958476.1	4460.568711111111
2318	5	5	WP_109895721.1	WP_207181627.1	WP_043757976.1	WP_109952441.1	WP_109958100.1	4457.262484615384
1652	5	5	WP_109892146.1	WP_048427329.1	WP_075379814.1	WP_109953657.1	WP_109960416.1	4456.982752941178
1052	5	5	WP_109890320.1	WP_207181666.1	WP_083683818.1	WP_109953438.1	WP_109962441.1	4455.447766666667
773	5	5	WP_109889485.1	WP_207180122.1	WP_043349744.1	WP_109949645.1	WP_109960079.1	4454.638277777778
2861	5	5	WP_236960999.1	WP_207181568.1	WP_075379637.1	WP_109951767.1	WP_109959168.1	4454.01345
2169	5	5	WP_109895260.1	WP_058618868.1	WP_075381493.1	WP_109951607.1	WP_109960308.1	4450.876604000001
1581	5	5	WP_109891867.1	WP_207181390.1	WP_100794053.1	WP_109952549.1	WP_109958555.1	4446.83245625
195	5	5	WP_109887088.1	WP_048427583.1	WP_043384792.1	WP_109950780.1	WP_109957956.1	4441.495525
1894	5	5	WP_109893626.1	WP_058619995.1	WP_043353967.1	WP_109952294.1	WP_109962342.1	4439.388466666667
1543	5	5	WP_109891771.1	WP_048425987.1	WP_043383358.1	WP_109953181.1	WP_109959235.1	4428.115663636364
821	5	5	WP_109889599.1	WP_048425512.1	WP_043346269.1	WP_109950082.1	WP_109960731.1	4411.046128571429
1179	5	6	WP_109890785.1	WP_048428374.1	WP_043382695.1,WP_075379668.1	WP_109950667.1	WP_245442880.1	4402.37324
2883	5	5	WP_236961100.1	WP_207178188.1	WP_043347943.1	WP_109954371.1	WP_109957835.1	4389.8895571428575
1936	5	5	WP_109893985.1	WP_207182686.1	WP_043349488.1	WP_109950148.1	WP_109957420.1	4389.1921647058825
1670	5	5	WP_109892206.1	WP_207179380.1	WP_043348372.1	WP_109953676.1	WP_109958330.1	4385.386052631579
2024	5	5	WP_109894445.1	WP_048431385.1	WP_043357312.1	WP_109952373.1	WP_109961795.1	4373.818963636363
1020	5	5	WP_109890245.1	WP_082173823.1	WP_075380270.1	WP_109952957.1	WP_109961029.1	4368.138861538461
2171	5	5	WP_109895264.1	WP_207179072.1	WP_075381820.1	WP_109952012.1	WP_109961427.1	4367.694292307692
2360	5	5	WP_109895824.1	WP_244749018.1	WP_043350479.1	WP_109952194.1	WP_109960797.1	4358.555694117647
1305	5	5	WP_109891254.1	WP_207179601.1	WP_043758359.1	WP_109950142.1	WP_109959433.1	4357.603408695652
43	5	5	WP_109886724.1	WP_207181322.1	WP_043379732.1	WP_109953793.1	WP_109962134.1	4353.2110923076925
2072	5	5	WP_109895027.1	WP_048426727.1	WP_075381477.1	WP_109954317.1	WP_109958272.1	4347.510005882354
1147	5	5	WP_109890663.1	WP_048425760.1	WP_075380679.1	WP_204165283.1	WP_109957681.1	4332.5019062500005
1893	5	5	WP_109893624.1	WP_058619997.1	WP_043351022.1	WP_109952295.1	WP_109959976.1	4332.133504545455
2056	5	5	WP_109894758.1	WP_058618718.1	WP_043384142.1	WP_109952651.1	WP_109960743.1	4331.845305555556
3787	5	5	WP_236961014.1	WP_244748619.1	WP_236952800.1	WP_162559832.1	WP_109961962.1	4328.446815
2631	5	6	WP_194075171.1	WP_048429303.1	WP_043348612.1,WP_236952984.1	WP_109951147.1	WP_109959263.1	4324.142583333334
405	5	5	WP_109887680.1	WP_207181924.1	WP_043356402.1	WP_245930721.1	WP_109960939.1	4323.316836363637
1753	5	5	WP_109892420.1	WP_048431567.1	WP_043345320.1	WP_109953124.1	WP_109960909.1	4303.258175
1467	5	5	WP_109891590.1	WP_207182388.1	WP_236952958.1	WP_109951954.1	WP_109962003.1	4303.061973333334
1620	5	5	WP_109891959.1	WP_244748751.1	WP_075381850.1	WP_109953594.1	WP_109961484.1	4299.304483333333
2474	5	5	WP_109896520.1	WP_207180481.1	WP_075380954.1	WP_109953772.1	WP_109960350.1	4298.774657142858
1480	5	5	WP_109891619.1	WP_207181700.1	WP_075380525.1	WP_109952003.1	WP_109958402.1	4295.9376250000005
782	5	5	WP_109889510.1	WP_207181119.1	WP_043350901.1	WP_109951128.1	WP_109957730.1	4294.061647368421
2321	5	5	WP_109895727.1	WP_048427082.1	WP_075380397.1	WP_109952444.1	WP_109958097.1	4290.129693333333
1640	5	7	WP_109892120.1	WP_207179031.1,WP_207179134.1	WP_043759976.1,WP_075380675.1	WP_109952174.1	WP_109960065.1	4289.5556
1851	5	5	WP_109893394.1	WP_207178380.1	WP_051044584.1	WP_109954239.1	WP_109961087.1	4288.2112
1937	5	5	WP_109893987.1	WP_048428085.1	WP_043381106.1	WP_109950146.1	WP_109957425.1	4277.3870307692305
320	5	5	WP_109887470.1	WP_048430596.1	WP_043350069.1	WP_109949745.1	WP_167450858.1	4277.244984210527
2635	5	5	WP_194075187.1	WP_048428390.1	WP_075379744.1	WP_109949945.1	WP_109958916.1	4270.22123
943	5	5	WP_109889973.1	WP_207179211.1	WP_043757468.1	WP_109951154.1	WP_109959777.1	4260.841615384616
291	5	5	WP_109887367.1	WP_048428380.1	WP_043346730.1	WP_109954045.1	WP_109957745.1	4259.913512499999
761	5	6	WP_109889384.1,WP_109889440.1	WP_048428315.1	WP_043357841.1	WP_109949982.1	WP_109958572.1	4254.688013333333
1645	5	5	WP_109892130.1	WP_048427338.1	WP_075380447.1	WP_109952614.1	WP_109960428.1	4248.967480952381
1641	5	5	WP_109892122.1	WP_207180722.1	WP_075380450.1	WP_109952175.1	WP_109959139.1	4239.385188888889
993	5	5	WP_109890127.1	WP_207179631.1	WP_075380279.1	WP_109949766.1	WP_109957481.1	4238.751888888889
2476	5	5	WP_109896528.1	WP_207178977.1	WP_075381349.1	WP_109954152.1	WP_109960301.1	4238.2933416666665
1717	5	5	WP_109892332.1	WP_048427776.1	WP_075379593.1	WP_109952902.1	WP_109961926.1	4224.839534615386
1164	5	5	WP_109890747.1	WP_207183252.1	WP_043379529.1	WP_109952877.1	WP_109961883.1	4216.853544444445
425	5	5	WP_109887795.1	WP_082172168.1	WP_075381624.1	WP_109949893.1	WP_109961293.1	4213.330431578947
210	5	5	WP_109887122.1	WP_207180132.1	WP_043347418.1	WP_109951505.1	WP_109961439.1	4209.727128571429
856	5	5	WP_109889693.1	WP_048430646.1	WP_043380150.1	WP_109950047.1	WP_109960610.1	4201.661095652174
723	5	5	WP_109889312.1	WP_207178654.1	WP_043379537.1	WP_109954361.1	WP_109959358.1	4197.653281818182
1109	5	5	WP_109890547.1	WP_207177749.1	WP_075381443.1	WP_109951120.1	WP_109959280.1	4197.578964705882
926	5	5	WP_109889885.1	WP_048430080.1	WP_075381031.1	WP_109949827.1	WP_109957749.1	4197.292986666666
1362	5	5	WP_109891388.1	WP_048429422.1	WP_043350657.1	WP_082773195.1	WP_048429422.1	4196.546672727272
1211	5	9	WP_109890865.1	WP_207182287.1	WP_075381278.1,WP_075381279.1	WP_109950303.1,WP_109953269.1,WP_109953626.1	WP_109959027.1,WP_109962210.1	4189.183808000001
2078	5	5	WP_109895047.1	WP_207177796.1	WP_043354156.1	WP_109953336.1	WP_109960150.1	4186.5443
1469	5	5	WP_109891594.1	WP_048428159.1	WP_043378628.1	WP_109951960.1	WP_109962001.1	4179.96924
787	5	5	WP_109889519.1	WP_207181577.1	WP_043353972.1	WP_109950599.1	WP_109961019.1	4177.969972727274
2786	5	6	WP_236960628.1	WP_207183043.1,WP_244749133.1	WP_075380752.1	WP_204165257.1	WP_109961831.1	4177.818317391305
2319	5	5	WP_109895723.1	WP_207181625.1	WP_075380396.1	WP_109952442.1	WP_109958099.1	4176.988745454546
2005	5	5	WP_109894397.1	WP_207179373.1	WP_043757393.1	WP_109950846.1	WP_109961521.1	4166.310092307692
1672	5	5	WP_109892210.1	WP_207180923.1	WP_075381702.1	WP_109953672.1	WP_109958059.1	4165.368676923077
741	5	5	WP_109889386.1	WP_207181073.1	WP_075381234.1	WP_109950356.1	WP_109958848.1	4163.400642857143
2388	5	5	WP_109895956.1	WP_207179537.1	WP_052083604.1	WP_109951484.1	WP_109960277.1	4163.353642105263
3138	5	7	WP_109887831.1	WP_048429224.1,WP_207182987.1	WP_043386727.1	WP_109952478.1	WP_109960800.1,WP_109960876.1	4162.748379166666
2543	5	5	WP_109896922.1	WP_048426913.1	WP_075381848.1	WP_245930920.1	WP_109958532.1	4161.018492307692
1290	5	5	WP_109891220.1	WP_058617713.1	WP_043351207.1	WP_109950721.1	WP_109961066.1	4156.9962
2463	5	5	WP_109896474.1	WP_048461127.1	WP_043383338.1	WP_109953489.1	WP_109957994.1	4150.813611764706
1225	5	5	WP_109890911.1	WP_244748652.1	WP_075379719.1	WP_245931121.1	WP_245442994.1	4149.448491304348
1676	5	5	WP_109892218.1	WP_207183596.1	WP_043348395.1	WP_109954381.1	WP_109962167.1	4144.863825
2494	5	5	WP_109896582.1	WP_207183598.1	WP_053609579.1	WP_245930581.1	WP_109962311.1	4140.422959999999
2816	5	5	WP_236960813.1	WP_048430128.1	WP_236952744.1	WP_109950098.1	WP_109960774.1	4128.69485
2482	5	5	WP_109896544.1	WP_207183323.1	WP_075380521.1	WP_109952005.1	WP_109960382.1	4126.830038888889
2818	5	5	WP_236960819.1	WP_048428395.1	WP_043757480.1	WP_109949839.1	WP_109958931.1	4122.497526315789
1593	5	5	WP_109891893.1	WP_207181764.1	WP_075380371.1	WP_109953234.1	WP_109959319.1	4121.350938095238
293	5	5	WP_109887373.1	WP_058620061.1	WP_043380104.1	WP_109953711.1	WP_109960841.1	4120.3942875
859	5	5	WP_109889703.1	WP_048430652.1	WP_043354361.1	WP_109950032.1	WP_109960616.1	4114.616673333334
91	5	5	WP_109886836.1	WP_207177879.1	WP_043349959.1	WP_109951580.1	WP_245443054.1	4114.5287969696965
2641	5	5	WP_194075194.1	WP_244748552.1	WP_043380600.1	WP_109950602.1	WP_109958246.1	4100.593652173913
1212	5	5	WP_109890867.1	WP_207182289.1	WP_075380137.1	WP_109950839.1	WP_109959028.1	4093.5034
142	5	5	WP_109886953.1	WP_207177905.1	WP_075381989.1	WP_109951553.1	WP_109958587.1	4089.809740740741
2819	5	5	WP_236960820.1	WP_048428613.1	WP_043756762.1	WP_109952314.1	WP_109960767.1	4083.5042727272735
2374	5	5	WP_109895882.1	WP_207183394.1	WP_043383069.1	WP_245930621.1	WP_109958109.1	4078.043792592592
86	5	5	WP_109886825.1	WP_207180136.1	WP_075380505.1	WP_109951586.1	WP_109961436.1	4073.1153045454553
1379	5	5	WP_109891426.1	WP_244748626.1	WP_164706440.1	WP_109951519.1	WP_109959251.1	4069.187966666667
1671	5	5	WP_109892208.1	WP_207183619.1	WP_043386474.1	WP_109953675.1	WP_109958331.1	4067.812941176471
796	5	5	WP_109889536.1	WP_244749036.1	WP_043388797.1	WP_109949942.1	WP_109958913.1	4062.5116866666663
346	5	5	WP_109887502.1	WP_244748640.1	WP_043348449.1	WP_109950687.1	WP_109960115.1	4061.1909666666666
807	5	5	WP_109889563.1	WP_058619803.1	WP_043387536.1	WP_109950096.1	WP_109960748.1	4056.88286
1382	5	5	WP_109891434.1	WP_048427826.1	WP_043383208.1	WP_109951412.1	WP_109959292.1	4044.0753399999994
1705	5	5	WP_109892300.1	WP_207183307.1	WP_043383686.1	WP_109953215.1	WP_109961347.1	4039.905969230769
1554	5	5	WP_109891799.1	WP_048426237.1	WP_043345740.1	WP_109951773.1	WP_109959163.1	4036.729688461538
2383	5	5	WP_109895912.1	WP_058620430.1	WP_075380154.1	WP_109951497.1	WP_245442482.1	4026.3697578947367
445	5	5	WP_109887865.1	WP_244748999.1	WP_075381056.1	WP_109951976.1	WP_245442718.1	4026.3565727272726
2346	5	6	WP_109895790.1	WP_244748997.1	WP_083683864.1	WP_109953390.1	WP_109961610.1,WP_245442878.1	4022.703705263158
1357	5	5	WP_109891378.1	WP_207183420.1	WP_043758838.1	WP_109949738.1	WP_109958149.1	4022.3366647058824
2369	5	5	WP_109895852.1	WP_048431105.1	WP_043389422.1	WP_109953803.1	WP_245442749.1	4016.210069230769
2495	5	5	WP_109896584.1	WP_048428816.1	WP_043357422.1	WP_109954193.1	WP_109959699.1	4014.2614090909087
1477	5	5	WP_109891608.1	WP_048430370.1	WP_043378606.1	WP_109954213.1	WP_109962018.1	4003.128154545455
2514	5	5	WP_109896658.1	WP_048426652.1	WP_043383698.1	WP_245930573.1	WP_109960093.1	4001.519441935485
1607	5	5	WP_109891931.1	WP_244748667.1	WP_043350575.1	WP_109953690.1	WP_245442504.1	3998.544452941176
83	5	5	WP_109886817.1	WP_207177786.1	WP_075381151.1	WP_109954141.1	WP_109960125.1	3991.00452631579
1472	5	5	WP_109891597.1	WP_244748933.1	WP_075380531.1	WP_109951957.1	WP_109961995.1	3990.4530999999997
1325	5	5	WP_109891304.1	WP_048431285.1	WP_043388717.1	WP_109951210.1	WP_109958016.1	3986.53378
1361	5	5	WP_109891386.1	WP_207181917.1	WP_083683550.1	WP_245930757.1	WP_245442836.1	3981.122647058824
923	5	5	WP_109889878.1	WP_048428621.1	WP_043346979.1	WP_109950060.1	WP_109958419.1	3979.585788888889
794	5	5	WP_109889532.1	WP_207182035.1	WP_075379747.1	WP_109949939.1	WP_109960769.1	3975.271972727274
922	5	5	WP_109889876.1	WP_207181719.1	WP_043346980.1	WP_109950061.1	WP_208642294.1	3974.9269285714286
2204	5	5	WP_109895456.1	WP_048430557.1	WP_043352813.1	WP_109953071.1	WP_109959335.1	3968.6585769230774
209	5	5	WP_109887120.1	WP_048431152.1	WP_043347420.1	WP_245930911.1	WP_245442698.1	3967.4449736842107
